OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E00088069,UN1,Urban: Nearer to a major town or city,Urban,83462
E00088127,RSN1,Smaller rural: Nearer to a major town or city,Rural,83463
E00088294,RSN1,Smaller rural: Nearer to a major town or city,Rural,83464
E00088366,UN1,Urban: Nearer to a major town or city,Urban,83465
E00088185,RSN1,Smaller rural: Nearer to a major town or city,Rural,83466
E00088070,UN1,Urban: Nearer to a major town or city,Urban,83467
E00088128,RSN1,Smaller rural: Nearer to a major town or city,Rural,83468
E00088295,UN1,Urban: Nearer to a major town or city,Urban,83469
E00088367,UN1,Urban: Nearer to a major town or city,Urban,83470
E00088186,RSN1,Smaller rural: Nearer to a major town or city,Rural,83471
E00088071,UN1,Urban: Nearer to a major town or city,Urban,83472
E00088129,RSN1,Smaller rural: Nearer to a major town or city,Rural,83473
E00088296,UN1,Urban: Nearer to a major town or city,Urban,83474
E00088368,UN1,Urban: Nearer to a major town or city,Urban,83475
E00088187,RSN1,Smaller rural: Nearer to a major town or city,Rural,83476
E00088072,UN1,Urban: Nearer to a major town or city,Urban,83477
E00088130,RSN1,Smaller rural: Nearer to a major town or city,Rural,83478
E00088297,UN1,Urban: Nearer to a major town or city,Urban,83479
E00088369,UN1,Urban: Nearer to a major town or city,Urban,83480
E00088188,RSN1,Smaller rural: Nearer to a major town or city,Rural,83481
E00088074,UN1,Urban: Nearer to a major town or city,Urban,83482
E00088131,RSN1,Smaller rural: Nearer to a major town or city,Rural,83483
E00088298,UN1,Urban: Nearer to a major town or city,Urban,83484
E00088370,UN1,Urban: Nearer to a major town or city,Urban,83485
E00088189,RSN1,Smaller rural: Nearer to a major town or city,Rural,83486
E00088076,RLN1,Larger rural: Nearer to a major town or city,Rural,83487
E00088132,UN1,Urban: Nearer to a major town or city,Urban,83488
E00088299,UN1,Urban: Nearer to a major town or city,Urban,83489
E00088371,UN1,Urban: Nearer to a major town or city,Urban,83490
E00088190,RSN1,Smaller rural: Nearer to a major town or city,Rural,83491
E00088077,RSN1,Smaller rural: Nearer to a major town or city,Rural,83492
E00088133,UN1,Urban: Nearer to a major town or city,Urban,83493
E00088300,UN1,Urban: Nearer to a major town or city,Urban,83494
E00088372,UN1,Urban: Nearer to a major town or city,Urban,83495
E00088373,RSN1,Smaller rural: Nearer to a major town or city,Rural,83496
E00088374,RLN1,Larger rural: Nearer to a major town or city,Rural,83497
E00088375,RLN1,Larger rural: Nearer to a major town or city,Rural,83498
E00088376,RSN1,Smaller rural: Nearer to a major town or city,Rural,83499
E00088377,RSN1,Smaller rural: Nearer to a major town or city,Rural,83500
E00088378,RSN1,Smaller rural: Nearer to a major town or city,Rural,83501
E00088379,UN1,Urban: Nearer to a major town or city,Urban,83502
E00088380,UN1,Urban: Nearer to a major town or city,Urban,83503
E00088301,UN1,Urban: Nearer to a major town or city,Urban,83504
E00088134,UN1,Urban: Nearer to a major town or city,Urban,83505
E00088302,UN1,Urban: Nearer to a major town or city,Urban,83506
E00088078,RSN1,Smaller rural: Nearer to a major town or city,Rural,83507
E00088191,RSN1,Smaller rural: Nearer to a major town or city,Rural,83508
E00088135,UN1,Urban: Nearer to a major town or city,Urban,83509
E00088303,UN1,Urban: Nearer to a major town or city,Urban,83510
E00088079,RLN1,Larger rural: Nearer to a major town or city,Rural,83511
E00088192,RSN1,Smaller rural: Nearer to a major town or city,Rural,83512
E00088136,UN1,Urban: Nearer to a major town or city,Urban,83513
E00088304,UN1,Urban: Nearer to a major town or city,Urban,83514
E00088080,RLN1,Larger rural: Nearer to a major town or city,Rural,83515
E00088193,RSN1,Smaller rural: Nearer to a major town or city,Rural,83516
E00088137,UN1,Urban: Nearer to a major town or city,Urban,83517
E00088305,UN1,Urban: Nearer to a major town or city,Urban,83518
E00088081,RSN1,Smaller rural: Nearer to a major town or city,Rural,83519
E00088194,UN1,Urban: Nearer to a major town or city,Urban,83520
E00088138,UN1,Urban: Nearer to a major town or city,Urban,83521
E00088306,UN1,Urban: Nearer to a major town or city,Urban,83522
E00088082,RLN1,Larger rural: Nearer to a major town or city,Rural,83523
E00088195,UN1,Urban: Nearer to a major town or city,Urban,83524
E00088139,UN1,Urban: Nearer to a major town or city,Urban,83525
E00088307,UN1,Urban: Nearer to a major town or city,Urban,83526
E00088083,RLN1,Larger rural: Nearer to a major town or city,Rural,83527
E00088196,UN1,Urban: Nearer to a major town or city,Urban,83528
E00088140,UN1,Urban: Nearer to a major town or city,Urban,83529
E00088308,UN1,Urban: Nearer to a major town or city,Urban,83530
E00088084,RSN1,Smaller rural: Nearer to a major town or city,Rural,83531
E00088197,UN1,Urban: Nearer to a major town or city,Urban,83532
E00088141,UN1,Urban: Nearer to a major town or city,Urban,83533
E00088309,UN1,Urban: Nearer to a major town or city,Urban,83534
E00088086,RSN1,Smaller rural: Nearer to a major town or city,Rural,83535
E00088198,UN1,Urban: Nearer to a major town or city,Urban,83536
E00088142,UN1,Urban: Nearer to a major town or city,Urban,83537
E00088310,UN1,Urban: Nearer to a major town or city,Urban,83538
E00088087,RSN1,Smaller rural: Nearer to a major town or city,Rural,83539
E00088199,UN1,Urban: Nearer to a major town or city,Urban,83540
E00088143,UN1,Urban: Nearer to a major town or city,Urban,83541
E00088311,UN1,Urban: Nearer to a major town or city,Urban,83542
E00088088,RLN1,Larger rural: Nearer to a major town or city,Rural,83543
E00088201,UN1,Urban: Nearer to a major town or city,Urban,83544
E00088144,UN1,Urban: Nearer to a major town or city,Urban,83545
E00088312,UN1,Urban: Nearer to a major town or city,Urban,83546
E00088089,RLN1,Larger rural: Nearer to a major town or city,Rural,83547
E00088090,RSN1,Smaller rural: Nearer to a major town or city,Rural,83548
E00088091,RLN1,Larger rural: Nearer to a major town or city,Rural,83549
E00088092,RLN1,Larger rural: Nearer to a major town or city,Rural,83550
E00088095,UN1,Urban: Nearer to a major town or city,Urban,83551
E00088096,UN1,Urban: Nearer to a major town or city,Urban,83552
E00088097,UN1,Urban: Nearer to a major town or city,Urban,83553
E00088099,UN1,Urban: Nearer to a major town or city,Urban,83554
E00088100,UN1,Urban: Nearer to a major town or city,Urban,83555
E00088101,UN1,Urban: Nearer to a major town or city,Urban,83556
E00088102,UN1,Urban: Nearer to a major town or city,Urban,83557
E00088103,UN1,Urban: Nearer to a major town or city,Urban,83558
E00088104,UN1,Urban: Nearer to a major town or city,Urban,83559
E00088145,UN1,Urban: Nearer to a major town or city,Urban,83560
E00088146,UN1,Urban: Nearer to a major town or city,Urban,83561
E00088147,UN1,Urban: Nearer to a major town or city,Urban,83562
E00088148,UN1,Urban: Nearer to a major town or city,Urban,83563
E00088149,UN1,Urban: Nearer to a major town or city,Urban,83564
E00088150,UN1,Urban: Nearer to a major town or city,Urban,83565
E00088151,UN1,Urban: Nearer to a major town or city,Urban,83566
E00088152,UN1,Urban: Nearer to a major town or city,Urban,83567
E00088153,UN1,Urban: Nearer to a major town or city,Urban,83568
E00088154,UN1,Urban: Nearer to a major town or city,Urban,83569
E00088155,UN1,Urban: Nearer to a major town or city,Urban,83570
E00088156,UN1,Urban: Nearer to a major town or city,Urban,83571
E00088157,UN1,Urban: Nearer to a major town or city,Urban,83572
E00088158,UN1,Urban: Nearer to a major town or city,Urban,83573
E00088313,UN1,Urban: Nearer to a major town or city,Urban,83574
E00088314,UN1,Urban: Nearer to a major town or city,Urban,83575
E00088315,UN1,Urban: Nearer to a major town or city,Urban,83576
E00088316,UN1,Urban: Nearer to a major town or city,Urban,83577
E00088317,UN1,Urban: Nearer to a major town or city,Urban,83578
E00088318,UN1,Urban: Nearer to a major town or city,Urban,83579
E00088319,UN1,Urban: Nearer to a major town or city,Urban,83580
